ID	HN-B	HN-Ca	HN-CHL	HN-Cu	HN-DW	HN-Fe	HN-FW	HN-K	HN-LA	HN-Mg	HN-Mn	HN-N	HN-P	HN-S	HN-Zn	LN-B	LN-Ca	LN-CHL	LN-Cu	LN-DW	LN-Fe	LN-FW	LN-K	LN-LA	LN-Mg	LN-Mn	LN-N	LN-P	LN-S	LN-Zn
4226	19.47632339	0.459656499	398.0556694	14.34039487	6.846523012	101.45738	27.08512441	2.28239648	1238.201029	0.205567693	90.75421484	3.081339858	0.349207713	0.211038349	51.6221653	14.5704684	0.453034714	251.826695	6.20644631	5.601377437	74.5528692	21.50847174	2.082046916	1057.893482	0.171443554	65.92262269	1.966010036	0.334945649	0.169011283	34.30092377
4722	NA	0.333481907	377.9778081	10.78409383	6.043258685	99.55033493	25.5450576	2.496055021	1080.790517	0.198399678	71.75982017	2.906440671	0.324151788	0.195222558	NA	12.7718979	0.261439831		5.127553566	NA	70.17417387	NA	2.200927856	1097.415461	0.135047177	58.0105683	1.739948904	0.289176849	0.14953818	25.22484174
A188	16.92987787	0.346422891	458.104204	14.69602497	5.302064784	105.4833641	21.07363647	2.100158313	904.9172558	0.180479641	NA	3.01807845	0.351991705	0.197858523	25.94993472	13.9709449	0.334245887	370.2958809	10.8816482	NA	97.66265013	NA	2.068060924	NA	0.143135261	NA	2.411140719	0.339763417	0.230676109	22.95582123
A214NGoodman-Buckler	18.74876753	0.359363874	382.7274097	10.78409383	5.366936122	96.79571427	NA	2.411220012	1121.813688	0.216319716	62.26262284	2.876670597	0.304663847	0.182042732	35.57702119	16.06927716	0.288263115	272.571914	6.20644631	6.143116754	70.41743472	26.48076721	2.484144213	1086.471392	0.175487596	53.01348133	1.966010036	0.303630154	0.159274731	25.98118191
A239	NA	0.479067974	395.0023541	10.42846372	6.857476616	103.7882129	27.40278832	2.012181267	1085.774073	0.209151701	92.6536543	2.692468262	0.29352788	0.179406767	NA	12.1723744	0.368732966	272.5136409	5.487184481	5.372933146	73.33656494	19.64473511	1.854774531	964.5999464	0.167399512	64.25692703	1.840161571	0.265088008	0.136556111	16.52692979
A441-5	21.00522139	0.349403025	402.2961859	10.102128	9.219268494	101.042624	43.09264971	2.975206793	1498.901561	0.164083738	59.46345974	2.764907802	0.328759283	0.190199186	24.52236375	12.91987737	0.26854676	266.0174187	6.183494737	4.613468551	74.21480888	18.99932729	2.494288173	950.7051313	0.14295005	38.28577169	1.94488737	0.296083372	0.146501433	16.39133845
A554	23.84165856	0.495244204	352.2559397	NA	5.093946299	98.06707765	19.7306017	2.445782423	935.6302262	0.23782376	NA	2.75572967	0.340855738	NA	NA	16.06927716	0.453034714	296.9592009	8.364231798	4.997631812	79.90460794	20.24616607	2.218410348	897.2903129	0.171443554	82.99600319	2.136138517	0.325310112	0.169011283	29.00654259
A556	29.66210546	0.398186826	420.3541237	9.717203514	5.846093805	113.95912	21.19024727	2.35466334	1009.315898	0.158975596	101.3910758	2.897137523	0.29352788	0.192586593	33.17024957	12.1723744	0.318918296	301.0091804	NA	4.831193829	NA	18.46285335	2.183445365	874.0839434	0.151223345	NA	NA	0.30122127	NA	NA
A6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A619	25.66054821	0.346422891	376.4357297	10.07283362	6.003095469	103.3644251	24.67650817	2.376657601	1020.925298	0.144639566	58.46374391	2.752008411	0.274039939	0.179406767	NA	19.06689467	0.318918296	315.140404	8.723862713	6.126799305	94.01373735	25.10656741	2.445682733	1008.056078	0.110782926	55.51202482	2.241012238	0.30122127	0.165765765	24.84667166
