Mean,SD,par,trait
0.318983,0.268493,hsq,asv_000920
0.0021,0.002109,Pi,asv_000986
1572.14624,1579.030151,NnzSnp,asv_000986
2e-06,3e-06,SigmaSq,asv_000986
0.197033,0.878263,S,asv_000986
0.008583,0.001202,ResVar,asv_000986
0.00049,0.000859,GenVar,asv_000986
0.054006,0.093745,hsq,asv_000986
0.002389,0.002288,Pi,asv_001001
1788.559814,1714.003174,NnzSnp,asv_001001
2e-06,3e-06,SigmaSq,asv_001001
-0.008714,0.875142,S,asv_001001
0.013749,0.002217,ResVar,asv_001001
0.000976,0.001757,GenVar,asv_001001
0.066313,0.118432,hsq,asv_001001
0.002336,0.002459,Pi,asv_001011
1748.936401,1842.2948,NnzSnp,asv_001011
0,0,SigmaSq,asv_001011
0.100408,0.838192,S,asv_001011
0.000134,2.2e-05,ResVar,asv_001011
1.1e-05,1.7e-05,GenVar,asv_001011
0.074466,0.117128,hsq,asv_001011
0.00217,0.00222,Pi,asv_001026
1625.000854,1662.701904,NnzSnp,asv_001026
0,0,SigmaSq,asv_001026
0.06445,0.888545,S,asv_001026
0.001167,0.000178,ResVar,asv_001026
7.4e-05,0.000136,GenVar,asv_001026
0.059806,0.108783,hsq,asv_001026
0.001678,0.002005,Pi,asv_001052
1256.476807,1501.698364,NnzSnp,asv_001052
1e-06,1e-06,SigmaSq,asv_001052
-0.821275,1.220703,S,asv_001052
0.002374,0.00112,ResVar,asv_001052
0.001159,0.001106,GenVar,asv_001052
0.327309,0.309865,hsq,asv_001052
0.002144,0.002117,Pi,asv_001057
1605.477417,1585.212891,NnzSnp,asv_001057
0,1e-06,SigmaSq,asv_001057
0.065221,0.780506,S,asv_001057
0.002879,0.000368,ResVar,asv_001057
0.000143,0.000231,GenVar,asv_001057
0.047443,0.075983,hsq,asv_001057
0.0019,0.001981,Pi,asv_001140
1422.049438,1484.102417,NnzSnp,asv_001140
0,0,SigmaSq,asv_001140
0.025766,0.896341,S,asv_001140
1e-05,2e-06,ResVar,asv_001140
1e-06,1e-06,GenVar,asv_001140
0.056134,0.116646,hsq,asv_001140
0.000476,0.001724,Pi,asv_001141
355.824463,1291.927612,NnzSnp,asv_001141
0,0,SigmaSq,asv_001141
-2.432624,0.886373,S,asv_001141
1.6e-05,3.3e-05,ResVar,asv_001141
0.000105,3.3e-05,GenVar,asv_001141
0.86996,0.273265,hsq,asv_001141
0.003299,0.002786,Pi,asv_001167
2470.94043,2087.137695,NnzSnp,asv_001167
0,0,SigmaSq,asv_001167
-0.524259,0.772035,S,asv_001167
0.000806,0.000333,ResVar,asv_001167
0.000363,0.000325,GenVar,asv_001167
0.310313,0.274849,hsq,asv_001167
0.002485,0.00227,Pi,asv_001169
1860.99939,1700.48645,NnzSnp,asv_001169
4e-06,5e-06,SigmaSq,asv_001169
-0.371841,0.902589,S,asv_001169
0.01956,0.006016,ResVar,asv_001169
0.004658,0.005741,GenVar,asv_001169
0.191995,0.234644,hsq,asv_001169
0.002289,0.002132,Pi,asv_001207
1714.02124,1596.783203,NnzSnp,asv_001207
0,0,SigmaSq,asv_001207
-0.098568,0.851914,S,asv_001207
0.000234,5.3e-05,ResVar,asv_001207
3.4e-05,4.8e-05,GenVar,asv_001207
0.127723,0.176903,hsq,asv_001207
0.002125,0.002123,Pi,asv_001232
1591.465454,1590.085327,NnzSnp,asv_001232
1e-06,1e-06,SigmaSq,asv_001232
-0.054402,0.884457,S,asv_001232
0.004793,0.000816,ResVar,asv_001232
0.000413,0.000664,GenVar,asv_001232
0.079336,0.126722,hsq,asv_001232
0.003196,0.00275,Pi,asv_001244
2393.82959,2059.203857,NnzSnp,asv_001244
2e-06,3e-06,SigmaSq,asv_001244
-0.53903,0.825082,S,asv_001244
0.008175,0.003007,ResVar,asv_001244
0.002924,0.002924,GenVar,asv_001244
0.262997,0.260693,hsq,asv_001244
0.00306,0.002544,Pi,asv_001255
2291.861572,1905.774536,NnzSnp,asv_001255
1e-06,1e-06,SigmaSq,asv_001255
-0.474852,0.801145,S,asv_001255
0.001471,0.000443,ResVar,asv_001255
0.000493,0.000429,GenVar,asv_001255
0.250158,0.214645,hsq,asv_001255
0.003046,0.002622,Pi,asv_001276
2281.392822,1963.651123,NnzSnp,asv_001276
7e-06,1.1e-05,SigmaSq,asv_001276
-0.255961,0.855041,S,asv_001276
0.019699,0.005879,ResVar,asv_001276
0.005152,0.005603,GenVar,asv_001276
0.207027,0.222672,hsq,asv_001276
0.002192,0.002014,Pi,asv_001292
1641.310791,1508.608521,NnzSnp,asv_001292
2e-06,2e-06,SigmaSq,asv_001292
0.201053,0.831444,S,asv_001292
0.007405,0.000966,ResVar,asv_001292
0.000386,0.000632,GenVar,asv_001292
0.049571,0.080501,hsq,asv_001292
0.001093,0.001423,Pi,asv_001294
817.77179,1065.85791,NnzSnp,asv_001294
0,0,SigmaSq,asv_001294
0.754537,0.797843,S,asv_001294
0,0,ResVar,asv_001294
0,0,GenVar,asv_001294
0.00534,0.006063,hsq,asv_001294
0.00257,0.002689,Pi,asv_001303
1924.097046,2014.099976,NnzSnp,asv_001303
0,0,SigmaSq,asv_001303
0.115913,0.871569,S,asv_001303
0.000953,0.000142,ResVar,asv_001303
6.1e-05,0.000105,GenVar,asv_001303
0.060659,0.103488,hsq,asv_001303
0.002129,0.002134,Pi,asv_001312
1594.36084,1598.071289,NnzSnp,asv_001312
0,0,SigmaSq,asv_001312
0.041028,0.854401,S,asv_001312
2e-06,0,ResVar,asv_001312
0,0,GenVar,asv_001312
0.054985,0.102276,hsq,asv_001312
0.00218,0.002251,Pi,asv_001319
1632.347656,1685.852173,NnzSnp,asv_001319
3e-06,4e-06,SigmaSq,asv_001319
0.092634,0.805258,S,asv_001319
0.013933,0.001991,ResVar,asv_001319
0.000825,0.001427,GenVar,asv_001319
0.055998,0.096346,hsq,asv_001319
0.002857,0.002638,Pi,asv_001323
2139.766357,1976.459106,NnzSnp,asv_001323
5e-06,1e-05,SigmaSq,asv_001323
-0.123152,0.827989,S,asv_001323
0.021642,0.004335,ResVar,asv_001323
0.002776,0.003761,GenVar,asv_001323
0.113824,0.152905,hsq,asv_001323
0.002363,0.002245,Pi,asv_001347
1769.300781,1680.917358,NnzSnp,asv_001347
0,1e-06,SigmaSq,asv_001347
0.215618,0.799143,S,asv_001347
0.002816,0.000356,ResVar,asv_001347
0.000105,0.000222,GenVar,asv_001347
0.03598,0.07545,hsq,asv_001347
9.9e-05,0.000359,Pi,asv_001416
72.830025,269.216553,NnzSnp,asv_001416
0,0,SigmaSq,asv_001416
-2.593276,0.302959,S,asv_001416
3e-06,5e-06,ResVar,asv_001416
5.6e-05,5e-06,GenVar,asv_001416
0.956273,0.085393,hsq,asv_001416
0.00196,0.001963,Pi,asv_001444
1468.077637,1470.844116,NnzSnp,asv_001444
0,0,SigmaSq,asv_001444
-0.050585,0.798992,S,asv_001444
2e-06,0,ResVar,asv_001444
0,0,GenVar,asv_001444
0.079381,0.117671,hsq,asv_001444
0.002329,0.00224,Pi,asv_001446
1744.218018,1677.745605,NnzSnp,asv_001446
0,0,SigmaSq,asv_001446
0.005196,0.77015,S,asv_001446
0.000254,3.9e-05,ResVar,asv_001446
1.9e-05,3e-05,GenVar,asv_001446
0.068604,0.110169,hsq,asv_001446
0.001932,0.002293,Pi,asv_001448
1446.394653,1717.885498,NnzSnp,asv_001448
7e-06,1.2e-05,SigmaSq,asv_001448
-0.150539,1.120135,S,asv_001448
0.037844,0.009101,ResVar,asv_001448
0.004389,0.008325,GenVar,asv_001448
0.103797,0.195868,hsq,asv_001448
0.00271,0.002458,Pi,asv_001499
2028.728638,1840.458618,NnzSnp,asv_001499
0,0,SigmaSq,asv_001499
-0.062103,0.900405,S,asv_001499
0.001701,0.000328,ResVar,asv_001499
0.000183,0.000283,GenVar,asv_001499
0.096947,0.149052,hsq,asv_001499
0.001479,0.001788,Pi,asv_001507
1107.128418,1338.960693,NnzSnp,asv_001507
2e-06,2e-06,SigmaSq,asv_001507
-0.10936,1.237031,S,asv_001507
0.008419,0.00228,ResVar,asv_001507
0.001217,0.00214,GenVar,asv_001507
0.125981,0.22015,hsq,asv_001507
0.000432,0.00165,Pi,asv_001529
322.844513,1236.474243,NnzSnp,asv_001529
0,0,SigmaSq,asv_001529
-2.550125,0.480689,S,asv_001529
7.4e-05,0.000102,ResVar,asv_001529
0.001125,0.000111,GenVar,asv_001529
0.938315,0.086814,hsq,asv_001529
0.001908,0.001986,Pi,asv_001572
1428.234375,1487.538208,NnzSnp,asv_001572
0,0,SigmaSq,asv_001572
0.188277,0.926306,S,asv_001572
0.000757,0.000114,ResVar,asv_001572
4.5e-05,8.7e-05,GenVar,asv_001572
0.05569,0.108164,hsq,asv_001572
0.002501,0.00245,Pi,asv_001582
1872.433838,1834.904785,NnzSnp,asv_001582
0,0,SigmaSq,asv_001582
0.248352,0.959187,S,asv_001582
0.000959,0.000158,ResVar,asv_001582
7.3e-05,0.000128,GenVar,asv_001582
0.071048,0.122268,hsq,asv_001582
0.000154,0.000551,Pi,asv_001649
114.1577,413.382355,NnzSnp,asv_001649
2e-06,3e-06,SigmaSq,asv_001649
-2.560139,0.523056,S,asv_001649
0.001642,0.002427,ResVar,asv_001649
0.012181,0.002458,GenVar,asv_001649
0.881247,0.17405,hsq,asv_001649
0.002692,0.002647,Pi,asv_001657
2015.953857,1983.294922,NnzSnp,asv_001657
0,0,SigmaSq,asv_001657
-0.401985,0.935854,S,asv_001657
3.1e-05,1.1e-05,ResVar,asv_001657
1e-05,1.1e-05,GenVar,asv_001657
0.236785,0.264914,hsq,asv_001657
8.5e-05,0.000151,Pi,asv_001659
62.484177,113.076256,NnzSnp,asv_001659
1e-06,1e-06,SigmaSq,asv_001659
-2.588035,0.363907,S,asv_001659
0.00069,0.000461,ResVar,asv_001659
0.004384,0.000516,GenVar,asv_001659
0.863755,0.091366,hsq,asv_001659
0.002788,0.002515,Pi,asv_001660
2087.769043,1883.17688,NnzSnp,asv_001660
2e-06,4e-06,SigmaSq,asv_001660
-0.154952,0.828093,S,asv_001660
0.005916,0.001505,ResVar,asv_001660
0.000951,0.001396,GenVar,asv_001660
0.138403,0.201211,hsq,asv_001660
0.001853,0.001748,Pi,asv_001667
1387.031372,1309.289185,NnzSnp,asv_001667
0,0,SigmaSq,asv_001667
0.077171,0.816261,S,asv_001667
0.002463,0.000293,ResVar,asv_001667
7.6e-05,0.000169,GenVar,asv_001667
0.029673,0.065414,hsq,asv_001667
0.002484,0.002305,Pi,asv_001749
1859.380981,1725.859985,NnzSnp,asv_001749
0,0,SigmaSq,asv_001749
-0.05135,0.908557,S,asv_001749
0.000518,0.00012,ResVar,asv_001749
6.8e-05,0.000108,GenVar,asv_001749
0.115611,0.1835,hsq,asv_001749
0.002349,0.002284,Pi,asv_001772
1758.569214,1710.177002,NnzSnp,asv_001772
1e-06,1e-06,SigmaSq,asv_001772
-0.175324,0.908763,S,asv_001772
0.004517,0.000841,ResVar,asv_001772
0.000471,0.000708,GenVar,asv_001772
0.094673,0.141093,hsq,asv_001772
0.002704,0.002432,Pi,asv_001806
2024.82959,1821.292847,NnzSnp,asv_001806
0,0,SigmaSq,asv_001806
