HAV,N_treatment
HAV_5425,std_N
HAV_5426,std_N
HAV_5427,std_N
HAV_5428,std_N
HAV_5429,std_N
HAV_5430,std_N
HAV_5431,std_N
HAV_5432,std_N
HAV_5433,std_N
HAV_5434,std_N
HAV_5435,std_N
HAV_5436,std_N
HAV_5437,std_N
HAV_5438,std_N
HAV_5439,std_N
HAV_5440,std_N
HAV_5441,std_N
HAV_5442,std_N
HAV_5443,std_N
HAV_5444,std_N
HAV_5445,std_N
HAV_5446,std_N
HAV_5447,std_N
HAV_5448,std_N
HAV_5449,std_N
HAV_5450,std_N
HAV_5451,std_N
HAV_5452,std_N
HAV_5453,std_N
HAV_5454,std_N
HAV_5455,std_N
HAV_5456,std_N
HAV_5457,std_N
HAV_5458,std_N
HAV_5459,std_N
HAV_5460,std_N
HAV_5461,std_N
HAV_5462,std_N
HAV_5463,std_N
HAV_5464,std_N
HAV_5465,std_N
HAV_5466,std_N
HAV_5467,std_N
HAV_5468,std_N
HAV_5469,std_N
HAV_5470,std_N
HAV_5471,std_N
HAV_5472,std_N
HAV_5473,std_N
HAV_5474,std_N
HAV_5475,std_N
HAV_5476,std_N
HAV_5477,std_N
HAV_5478,std_N
HAV_5479,std_N
HAV_5480,std_N
HAV_5481,std_N
HAV_5482,std_N
HAV_5483,std_N
HAV_5484,std_N
HAV_5485,std_N
HAV_5486,std_N
HAV_5487,std_N
HAV_5488,std_N
HAV_5489,std_N
HAV_5490,std_N
HAV_5491,std_N
HAV_5492,std_N
HAV_5493,std_N
HAV_5494,std_N
HAV_5495,std_N
HAV_5496,std_N
HAV_5497,std_N
HAV_5498,std_N
HAV_5499,std_N
HAV_5500,std_N
HAV_5501,std_N
HAV_5502,std_N
HAV_5503,std_N
HAV_5504,std_N
HAV_5505,std_N
HAV_5506,std_N
HAV_5507,std_N
HAV_5508,std_N
HAV_5509,std_N
HAV_5510,std_N
HAV_5511,std_N
HAV_5512,std_N
HAV_5513,std_N
HAV_5514,std_N
HAV_5515,std_N
HAV_5516,std_N
HAV_5517,std_N
