Sample_ID,raw_seq_count,filename,genotype,nitrogen,block,sp,spb,subsample,collected_by_person,row,year,pedigree,subpopulation
HAV_2383,135494,HAV_2383_S66_R1_001.fastq.gz,CHECK2,-N,N,sp1,spb3,rep1,ALB,2234,Y2018,B37xMo17,NA
HAV_2384,93083,HAV_2384_S74_R1_001.fastq.gz,CHECK,-N,N,sp1,spb3,rep1,ALB,2246,Y2018,B73xMo17,NA
HAV_2385,76162,HAV_2385_S82_R1_001.fastq.gz,CHECK2,-N,N,sp2,spb1,rep1,CRG,2253,Y2018,B37xMo17,NA
HAV_2386,105256,HAV_2386_S90_R1_001.fastq.gz,M162W,-N,N,sp2,spb2,rep1,ALB,2267,Y2018,Ames 27134,nss
HAV_2387,125510,HAV_2387_S98_R1_001.fastq.gz,M162W,-N,N,sp2,spb2,rep2,NF,2268,Y2018,Ames 27134,nss
HAV_2388,69862,HAV_2388_S106_R1_001.fastq.gz,NC350,-N,N,sp2,spb2,rep1,ALB,2269,Y2018,Ames 27171,ts
HAV_2389,95534,HAV_2389_S114_R1_001.fastq.gz,NC350,-N,N,sp2,spb2,rep2,CRG,2270,Y2018,Ames 27171,ts
HAV_2390,97062,HAV_2390_S122_R1_001.fastq.gz,CHECK,-N,N,sp2,spb3,rep1,ALB,2288,Y2018,B73xMo17,NA
HAV_2391,128447,HAV_2391_S67_R1_001.fastq.gz,OH603,-N,N,sp2,spb3,rep1,ALB,2293,Y2018,PI 573098,mixed
HAV_2392,135280,HAV_2392_S75_R1_001.fastq.gz,OH603,-N,N,sp2,spb3,rep2,NF,2294,Y2018,PI 573098,mixed
HAV_2393,85965,HAV_2393_S83_R1_001.fastq.gz,CHECK,-N,N,sp3,spb1,rep1,NF,2313,Y2018,B73xMo17,NA
HAV_2394,98100,HAV_2394_S91_R1_001.fastq.gz,CML333,-N,N,sp3,spb1,rep1,NF,2315,Y2018,Ames 27101,ts
HAV_2395,107198,HAV_2395_S99_R1_001.fastq.gz,CML333,-N,N,sp3,spb1,rep2,NF,2316,Y2018,Ames 27101,ts
HAV_2396,43690,HAV_2396_S107_R1_001.fastq.gz,CHECK,-N,N,sp3,spb3,rep1,NF,2333,Y2018,B73xMo17,NA
HAV_2397,100338,HAV_2397_S115_R1_001.fastq.gz,MS71,-N,N,sp3,spb3,rep1,CRG,2347,Y2018,PI 587137,nss
HAV_2398,128392,HAV_2398_S123_R1_001.fastq.gz,MS71,-N,N,sp3,spb3,rep2,NF,2348,Y2018,PI 587137,nss
HAV_2399,120511,HAV_2399_S68_R1_001.fastq.gz,B73,-N,N,sp4,spb1,rep1,CRG,2349,Y2018,PI 550473,ss
HAV_2400,100875,HAV_2400_S76_R1_001.fastq.gz,B73,-N,N,sp4,spb1,rep2,CRG,2350,Y2018,PI 550473,ss
HAV_2401,81935,HAV_2401_S84_R1_001.fastq.gz,M37W,-N,N,sp4,spb2,rep1,GL,2367,Y2018,Ames 27133,mixed
HAV_2402,111716,HAV_2402_S92_R1_001.fastq.gz,M37W,-N,N,sp4,spb2,rep2,GL,2368,Y2018,Ames 27133,mixed
HAV_2403,87881,HAV_2403_S100_R1_001.fastq.gz,IL14H,-N,N,sp4,spb2,rep1,GL,2369,Y2018,Ames 27118,sweet
HAV_2404,55175,HAV_2404_S108_R1_001.fastq.gz,IL14H,-N,N,sp4,spb2,rep2,GL,2370,Y2018,Ames 27118,sweet
HAV_2405,86766,HAV_2405_S116_R1_001.fastq.gz,CML52,-N,N,sp3,spb2,rep1,CRG,2417,Y2018,PI 595561,ts
HAV_2406,109810,HAV_2406_S124_R1_001.fastq.gz,CML52,-N,N,sp3,spb2,rep2,CRG,2418,Y2018,PI 595561,ts
HAV_2407,127046,HAV_2407_S69_R1_001.fastq.gz,CHECK2,-N,N,sp3,spb2,rep1,CRG,2427,Y2018,B37xMo17,NA
HAV_2408,97607,HAV_2408_S77_R1_001.fastq.gz,TZI8,-N,N,sp3,spb3,rep1,NF,2437,Y2018,PI 506246,ts
HAV_2409,105014,HAV_2409_S85_R1_001.fastq.gz,TZI8,-N,N,sp3,spb3,rep2,NF,2438,Y2018,PI 506246,ts
HAV_2410,125961,HAV_2410_S93_R1_001.fastq.gz,CHECK2,-N,N,sp3,spb3,rep1,NF,2446,Y2018,B37xMo17,NA
HAV_2411,113536,HAV_2411_S101_R1_001.fastq.gz,B97,-N,N,sp4,spb1,rep1,CRG,2461,Y2018,PI 564682,nss
HAV_2412,79540,HAV_2412_S109_R1_001.fastq.gz,B97,-N,N,sp4,spb1,rep2,EMS,2462,Y2018,PI 564682,nss
HAV_2413,109675,HAV_2413_S117_R1_001.fastq.gz,RTH3,-N,N,sp4,spb1,rep1,EMS,2463,Y2018,roothairless3,NA
